userName,score,content,case_folding,hasil_normalisasi,tokenizing,stopword_removal,Sentimen,label_svm,Topik_LDA,processed_words,servqual_label
Pengguna Google,3,Gmna sih ini mau daftar BPJS JKN pas masukin captca salah terus pdhl udh bener heduhh gmna sih,gmna sih ini mau daftar bpjs jkn pas masukin captca salah terus pdhl udh bener heduhh gmna sih,bagaimana sih ini mau daftar bpjs jkn ketika memasuki captca salah terus padahal sudah benar heduhh bagaimana sih,"['bagaimana', 'sih', 'ini', 'mau', 'daftar', 'bpjs', 'jkn', 'ketika', 'memasuki', 'captca', 'salah', 'terus', 'padahal', 'sudah', 'benar', 'heduhh', 'bagaimana', 'sih']","['daftar', 'bpjs', 'jkn', 'memasuki', 'captca', 'salah', 'sudah', 'heduhh']",1,1,2,"['daftar', 'bpjs', 'jkn', 'memasuki', 'captca', 'salah', 'sudah', 'heduhh']",Tidak Ada Kecocokan
Pengguna Google,1,Login susah padahal semua dah bener,login susah padahal semua dah bener,login susah padahal semua sudah benar,"['login', 'susah', 'padahal', 'semua', 'sudah', 'benar']","['login', 'susah', 'sudah']",1,1,2,"['login', 'susah', 'sudah']",Tidak Ada Kecocokan
Pengguna Google,1,Otp nya gak masuk masuk gak jelas,otp nya gak masuk masuk gak jelas,otp ya tidak masuk masuk tidak jelas,"['otp', 'ya', 'tidak', 'masuk', 'masuk', 'tidak', 'jelas']","['otp', 'tidak', 'masuk', 'masuk', 'tidak']",1,1,2,"['otp', 'tidak', 'masuk', 'masuk', 'tidak']",reliability
Pengguna Google,1,"Kenapa skrg jkn buruk bgt daftar gagal Mulu sering coba lagi,dan saat bisa masuk kode malah notif nomor tidak sesuai padahal jelas sudah terima kode..tolong perbaiki fiturnya lebih baik lagi agar daftar JKN permudah kaya dulu ga sulit aplgi ribet soal eror terus",kenapa skrg jkn buruk bgt daftar gagal mulu sering coba lagidan saat bisa masuk kode malah notif nomor tidak sesuai padahal jelas sudah terima kodetolong perbaiki fiturnya lebih baik lagi agar daftar jkn permudah kaya dulu ga sulit aplgi ribet soal eror terus,kenapa sekarang jkn buruk sangat daftar gagal melulu sering coba lagidan saat bisa masuk kode malah notifikasi nomor tidak sesuai padahal jelas sudah terima kodetolong perbaiki fiturnya lebih baik lagi agar daftar jkn permudah seperti dulu tidak sulit aplgi ribet soal error terus,"['kenapa', 'sekarang', 'jkn', 'buruk', 'sangat', 'daftar', 'gagal', 'melulu', 'sering', 'coba', 'lagidan', 'saat', 'bisa', 'masuk', 'kode', 'malah', 'notifikasi', 'nomor', 'tidak', 'sesuai', 'padahal', 'jelas', 'sudah', 'terima', 'kodetolong', 'perbaiki', 'fiturnya', 'lebih', 'baik', 'lagi', 'agar', 'daftar', 'jkn', 'permudah', 'seperti', 'dulu', 'tidak', 'sulit', 'aplgi', 'ribet', 'soal', 'error', 'terus']","['jkn', 'buruk', 'sangat', 'daftar', 'gagal', 'melulu', 'coba', 'lagidan', 'bisa', 'masuk', 'kode', 'notifikasi', 'nomor', 'tidak', 'sesuai', 'sudah', 'terima', 'kodetolong', 'perbaiki', 'fiturnya', 'lebih', 'baik', 'daftar', 'jkn', 'permudah', 'tidak', 'sulit', 'aplgi', 'ribet', 'error']",1,1,2,"['jkn', 'buruk', 'sangat', 'daftar', 'gagal', 'melulu', 'coba', 'lagidan', 'bisa', 'masuk', 'kode', 'notifikasi', 'nomor', 'tidak', 'sesuai', 'sudah', 'terima', 'kodetolong', 'perbaiki', 'fiturnya', 'lebih', 'baik', 'daftar', 'jkn', 'permudah', 'tidak', 'sulit', 'aplgi', 'ribet', 'error']",reliability
Pengguna Google,5,"Gagal terus mau daftar.. udh masuk nomor telepon, ga dapet² kode verifikasi nya.",gagal terus mau daftar udh masuk nomor telepon ga dapet kode verifikasi nya,gagal terus mau daftar sudah masuk nomor telepon tidak dapat kode verifikasi ya,"['gagal', 'terus', 'mau', 'daftar', 'sudah', 'masuk', 'nomor', 'telepon', 'tidak', 'dapat', 'kode', 'verifikasi', 'ya']","['gagal', 'daftar', 'sudah', 'masuk', 'nomor', 'telepon', 'tidak', 'kode', 'verifikasi']",1,1,2,"['gagal', 'daftar', 'sudah', 'masuk', 'nomor', 'telepon', 'tidak', 'kode', 'verifikasi']",reliability
Pengguna Google,1,"Aneh otp SMS gak masuk""",aneh otp sms gak masuk,jelek otp sms tidak masuk,"['jelek', 'otp', 'sms', 'tidak', 'masuk']","['jelek', 'otp', 'sms', 'tidak', 'masuk']",1,1,2,"['jelek', 'otp', 'sms', 'tidak', 'masuk']",reliability
Pengguna Google,4,Saya kasih bintang 3 karena aplikasinya di HP ku tak berjalan Emulator JKN nya. Mohon petunjuk?!,saya kasih bintang  karena aplikasinya di hp ku tak berjalan emulator jkn nya mohon petunjuk,saya kasih bintang karena aplikasinya di hp ku tak berjalan emulator jkn ya mohon petunjuk,"['saya', 'kasih', 'bintang', 'karena', 'aplikasinya', 'di', 'hp', 'ku', 'tak', 'berjalan', 'emulator', 'jkn', 'ya', 'mohon', 'petunjuk']","['kasih', 'bintang', 'aplikasinya', 'hp', 'ku', 'berjalan', 'emulator', 'jkn', 'mohon', 'petunjuk']",0,0,0,"['kasih', 'bintang', 'aplikasinya', 'hp', 'ku', 'berjalan', 'emulator', 'jkn', 'mohon', 'petunjuk']",reliability
Pengguna Google,2,"Aplikasi bagus, menunggu kode verifikasi OTP nya via email cepat, kode OTP via no telepon ga bisa , sudah di coba berkali kali tidak ada balasan SMS kode OTP .",aplikasi bagus menunggu kode verifikasi otp nya via email cepat kode otp via no telepon ga bisa  sudah di coba berkali kali tidak ada balasan sms kode otp,aplikasi bagus menunggu kode verifikasi otp ya via email cepat kode otp via nomor telepon tidak bisa sudah di coba berkali kali tidak ada balasan sms kode otp,"['aplikasi', 'bagus', 'menunggu', 'kode', 'verifikasi', 'otp', 'ya', 'via', 'email', 'cepat', 'kode', 'otp', 'via', 'nomor', 'telepon', 'tidak', 'bisa', 'sudah', 'di', 'coba', 'berkali', 'kali', 'tidak', 'ada', 'balasan', 'sms', 'kode', 'otp']","['aplikasi', 'bagus', 'menunggu', 'kode', 'verifikasi', 'otp', 'via', 'email', 'cepat', 'kode', 'otp', 'via', 'nomor', 'telepon', 'tidak', 'bisa', 'sudah', 'coba', 'berkali', 'kali', 'tidak', 'balasan', 'sms', 'kode', 'otp']",1,1,2,"['aplikasi', 'bagus', 'menunggu', 'kode', 'verifikasi', 'otp', 'via', 'email', 'cepat', 'kode', 'otp', 'via', 'nomor', 'telepon', 'tidak', 'bisa', 'sudah', 'coba', 'berkali', 'kali', 'tidak', 'balasan', 'sms', 'kode', 'otp']",assurance
Pengguna Google,1,Susah masuknya kalau pakai hp jadul dan sering2 upgade,susah masuknya kalau pakai hp jadul dan sering upgade,susah masuknya kalau pakai hp jadul dan sering upgade,"['susah', 'masuknya', 'kalau', 'pakai', 'hp', 'jadul', 'dan', 'sering', 'upgade']","['susah', 'masuknya', 'pakai', 'hp', 'jadul', 'upgade']",1,1,2,"['susah', 'masuknya', 'pakai', 'hp', 'jadul', 'upgade']",Tidak Ada Kecocokan
Pengguna Google,1,Saya merasa kwsulitan untuk masuk registrs dan aplks ini juga tidak ada menawarkan opsi lain agar memudahkan saya untuk login. Complene saya Trimkasih,saya merasa kwsulitan untuk masuk registrs dan aplks ini juga tidak ada menawarkan opsi lain agar memudahkan saya untuk login complene saya trimkasih,saya merasa kwsulitan untuk masuk registrs dan aplikasi ini juga tidak ada menawarkan opsi lain agar memudahkan saya untuk login complene saya trimkasih,"['saya', 'merasa', 'kwsulitan', 'untuk', 'masuk', 'registrs', 'dan', 'aplikasi', 'ini', 'juga', 'tidak', 'ada', 'menawarkan', 'opsi', 'lain', 'agar', 'memudahkan', 'saya', 'untuk', 'login', 'complene', 'saya', 'trimkasih']","['kwsulitan', 'masuk', 'registrs', 'aplikasi', 'tidak', 'menawarkan', 'opsi', 'memudahkan', 'login', 'complene', 'trimkasih']",1,1,2,"['kwsulitan', 'masuk', 'registrs', 'aplikasi', 'tidak', 'menawarkan', 'opsi', 'memudahkan', 'login', 'complene', 'trimkasih']",tangibles
Pengguna Google,1,"Ternyata uraian komentar,di bawah,sdh merasakan btp kesalnya swaktu mau mendaftar",ternyata uraian komentardi bawahsdh merasakan btp kesalnya swaktu mau mendaftar,ternyata uraian komentardi bawahsdh merasakan btp kesalnya swaktu mau mendaftar,"['ternyata', 'uraian', 'komentardi', 'bawahsdh', 'merasakan', 'btp', 'kesalnya', 'swaktu', 'mau', 'mendaftar']","['uraian', 'komentardi', 'bawahsdh', 'merasakan', 'btp', 'kesalnya', 'swaktu', 'mendaftar']",2,0,1,"['uraian', 'komentardi', 'bawahsdh', 'merasakan', 'btp', 'kesalnya', 'swaktu', 'mendaftar']",Tidak Ada Kecocokan
Pengguna Google,5,Terimakasih atas kemudahannya,terimakasih atas kemudahannya,terimakasih atas kemudahannya,"['terimakasih', 'atas', 'kemudahannya']","['terimakasih', 'kemudahannya']",2,2,1,"['terimakasih', 'kemudahannya']",Tidak Ada Kecocokan
Pengguna Google,3,"Kenapa ya mau daftar peserta baru tapi kode otp gabisa masuk ,padahal nomor aktif?",kenapa ya mau daftar peserta baru tapi kode otp gabisa masuk padahal nomor aktif,kenapa ya mau daftar peserta baru tetapi kode otp tidak bisa masuk padahal nomor aktif,"['kenapa', 'ya', 'mau', 'daftar', 'peserta', 'baru', 'tetapi', 'kode', 'otp', 'tidak', 'bisa', 'masuk', 'padahal', 'nomor', 'aktif']","['daftar', 'peserta', 'kode', 'otp', 'tidak', 'bisa', 'masuk', 'nomor', 'aktif']",1,1,2,"['daftar', 'peserta', 'kode', 'otp', 'tidak', 'bisa', 'masuk', 'nomor', 'aktif']",assurance
Pengguna Google,5,Bagus sekali dengan cara yang paling banyak digunakan oleh para warga,bagus sekali dengan cara yang paling banyak digunakan oleh para warga,bagus sekali dengan cara yang paling banyak digunakan oleh para warga,"['bagus', 'sekali', 'dengan', 'cara', 'yang', 'paling', 'banyak', 'digunakan', 'oleh', 'para', 'warga']","['bagus', 'warga']",2,2,1,"['bagus', 'warga']",Tidak Ada Kecocokan
Pengguna Google,1,"Aplikasi sampah. Tiap kali mau cek sesuatu selalu muncul notif ""permintaan anta tidak dapat diproses. [2] mohon maaf atas ketidaknyamanan anda."" Dan ada tulisam offline, padahal jaringan internet sangat lancar. Kalau bisa sistem segera diperbaiki. Aplikasi dengan anggaran milyaran tpi sistem kayak t4i",aplikasi sampah tiap kali mau cek sesuatu selalu muncul notif permintaan anta tidak dapat diproses  mohon maaf atas ketidaknyamanan anda dan ada tulisam offline padahal jaringan internet sangat lancar kalau bisa sistem segera diperbaiki aplikasi dengan anggaran milyaran tpi sistem kayak ti,aplikasi sampah tiap kali mau cek sesuatu selalu muncul notifikasi permintaan anta tidak dapat diproses mohon maaf atas ketidaknyamanan anda dan ada tulisam offline padahal jaringan internet sangat lancar kalau bisa sistem segera diperbaiki aplikasi dengan anggaran milyaran tapi sistem kayak ti,"['aplikasi', 'sampah', 'tiap', 'kali', 'mau', 'cek', 'sesuatu', 'selalu', 'muncul', 'notifikasi', 'permintaan', 'anta', 'tidak', 'dapat', 'diproses', 'mohon', 'maaf', 'atas', 'ketidaknyamanan', 'anda', 'dan', 'ada', 'tulisam', 'offline', 'padahal', 'jaringan', 'internet', 'sangat', 'lancar', 'kalau', 'bisa', 'sistem', 'segera', 'diperbaiki', 'aplikasi', 'dengan', 'anggaran', 'milyaran', 'tapi', 'sistem', 'kayak', 'ti']","['aplikasi', 'sampah', 'kali', 'cek', 'muncul', 'notifikasi', 'permintaan', 'anta', 'tidak', 'diproses', 'mohon', 'maaf', 'ketidaknyamanan', 'tulisam', 'offline', 'jaringan', 'internet', 'sangat', 'lancar', 'bisa', 'sistem', 'diperbaiki', 'aplikasi', 'anggaran', 'milyaran', 'sistem', 'kayak', 'ti']",1,1,0,"['aplikasi', 'sampah', 'kali', 'cek', 'muncul', 'notifikasi', 'permintaan', 'anta', 'tidak', 'diproses', 'mohon', 'maaf', 'ketidaknyamanan', 'tulisam', 'offline', 'jaringan', 'internet', 'sangat', 'lancar', 'bisa', 'sistem', 'diperbaiki', 'aplikasi', 'anggaran', 'milyaran', 'sistem', 'kayak', 'ti']",tangibles
Pengguna Google,1,"Mau daftar Minta verufikasi OTP lewat sms aja susah banget, pelayanan nya lama tidak memudahkan dan tidak membantu",mau daftar minta verufikasi otp lewat sms aja susah banget pelayanan nya lama tidak memudahkan dan tidak membantu,mau daftar meminta verufikasi otp lewat sms saja susah banget pelayanan ya lama tidak memudahkan dan tidak membantu,"['mau', 'daftar', 'meminta', 'verufikasi', 'otp', 'lewat', 'sms', 'saja', 'susah', 'banget', 'pelayanan', 'ya', 'lama', 'tidak', 'memudahkan', 'dan', 'tidak', 'membantu']","['daftar', 'verufikasi', 'otp', 'sms', 'susah', 'banget', 'pelayanan', 'tidak', 'memudahkan', 'tidak', 'membantu']",2,2,2,"['daftar', 'verufikasi', 'otp', 'sms', 'susah', 'banget', 'pelayanan', 'tidak', 'memudahkan', 'tidak', 'membantu']",reliability
Pengguna Google,1,"Aplikasi menyusahkan bukan memudahkan Ke kantor bilangnya daftar sendiri, cuma di kasih kertas pentunjuk, pegawainya bilang ikuti saja langkahnya Pas buat sendiri ehh malah kehabisan pulsa ratusan ribu nggk jadi² Solusinya gimana padahal berkas ini kita butuh",aplikasi menyusahkan bukan memudahkan ke kantor bilangnya daftar sendiri cuma di kasih kertas pentunjuk pegawainya bilang ikuti saja langkahnya pas buat sendiri ehh malah kehabisan pulsa ratusan ribu nggk jadi solusinya gimana padahal berkas ini kita butuh,aplikasi menyusahkan bukan memudahkan ke kantor bilangnya daftar sendiri cuma di kasih kertas pentunjuk pegawainya bilang ikuti saja langkahnya ketika buat sendiri eh malah kehabisan pulsa ratusan ribu tidak jadi solusinya bagaimana padahal berkas ini kita butuh,"['aplikasi', 'menyusahkan', 'bukan', 'memudahkan', 'ke', 'kantor', 'bilangnya', 'daftar', 'sendiri', 'cuma', 'di', 'kasih', 'kertas', 'pentunjuk', 'pegawainya', 'bilang', 'ikuti', 'saja', 'langkahnya', 'ketika', 'buat', 'sendiri', 'eh', 'malah', 'kehabisan', 'pulsa', 'ratusan', 'ribu', 'tidak', 'jadi', 'solusinya', 'bagaimana', 'padahal', 'berkas', 'ini', 'kita', 'butuh']","['aplikasi', 'menyusahkan', 'memudahkan', 'kantor', 'bilangnya', 'daftar', 'kasih', 'kertas', 'pentunjuk', 'pegawainya', 'bilang', 'ikuti', 'langkahnya', 'kehabisan', 'pulsa', 'ratusan', 'ribu', 'tidak', 'solusinya', 'berkas', 'butuh']",1,1,2,"['aplikasi', 'menyusahkan', 'memudahkan', 'kantor', 'bilangnya', 'daftar', 'kasih', 'kertas', 'pentunjuk', 'pegawainya', 'bilang', 'ikuti', 'langkahnya', 'kehabisan', 'pulsa', 'ratusan', 'ribu', 'tidak', 'solusinya', 'berkas', 'butuh']",tangibles
Pengguna Google,1,kode otp tdk terkirim,kode otp tdk terkirim,kode otp tidak terkirim,"['kode', 'otp', 'tidak', 'terkirim']","['kode', 'otp', 'tidak', 'terkirim']",1,1,2,"['kode', 'otp', 'tidak', 'terkirim']",assurance
Pengguna Google,2,Lemot dan sering gangguan dibagian feature pendaftaran pelayanan (antrean),lemot dan sering gangguan dibagian feature pendaftaran pelayanan antrean,lambat dan sering gangguan dibagian feature pendaftaran pelayanan antrian,"['lambat', 'dan', 'sering', 'gangguan', 'dibagian', 'feature', 'pendaftaran', 'pelayanan', 'antrian']","['lambat', 'gangguan', 'dibagian', 'feature', 'pendaftaran', 'pelayanan', 'antrian']",2,2,1,"['lambat', 'gangguan', 'dibagian', 'feature', 'pendaftaran', 'pelayanan', 'antrian']",Tidak Ada Kecocokan
Pengguna Google,3,Update terus aplikasi nya sih bagus cuma kalau mau make lagi harus download terus kan kek mana gitu,update terus aplikasi nya sih bagus cuma kalau mau make lagi harus download terus kan kek mana gitu,memperbarui terus aplikasi ya sih bagus cuma kalau mau memakai lagi harus unduh terus kan seperti mana begitu,"['memperbarui', 'terus', 'aplikasi', 'ya', 'sih', 'bagus', 'cuma', 'kalau', 'mau', 'memakai', 'lagi', 'harus', 'unduh', 'terus', 'kan', 'seperti', 'mana', 'begitu']","['memperbarui', 'aplikasi', 'bagus', 'memakai', 'unduh']",0,0,0,"['memperbarui', 'aplikasi', 'bagus', 'memakai', 'unduh']",tangibles
Pengguna Google,1,kebanyakan update kek apk belum rede sdh dipaksakan louncing... ezz,kebanyakan update kek apk belum rede sdh dipaksakan louncing ezz,kebanyakan memperbarui seperti aplikasi belum rede sudah dipaksakan louncing ezz,"['kebanyakan', 'memperbarui', 'seperti', 'aplikasi', 'belum', 'rede', 'sudah', 'dipaksakan', 'louncing', 'ezz']","['kebanyakan', 'memperbarui', 'aplikasi', 'rede', 'sudah', 'dipaksakan', 'louncing', 'ezz']",0,0,0,"['kebanyakan', 'memperbarui', 'aplikasi', 'rede', 'sudah', 'dipaksakan', 'louncing', 'ezz']",tangibles
Pengguna Google,3,"Serius nanya, Apakah jkn telah diretas?",serius nanya apakah jkn telah diretas,serius bertanya apakah jkn telah diretas,"['serius', 'bertanya', 'apakah', 'jkn', 'telah', 'diretas']","['serius', 'jkn', 'diretas']",1,0,0,"['serius', 'jkn', 'diretas']",Tidak Ada Kecocokan
Pengguna Google,5,Mudahnya tanpa antri,mudahnya tanpa antri,mudahnya tanpa antri,"['mudahnya', 'tanpa', 'antri']","['mudahnya', 'antri']",0,0,1,"['mudahnya', 'antri']",Tidak Ada Kecocokan
Pengguna Google,5,"Bikin agar bisa verifikasi tidak hanya melalui SMS, kalau saya pilih email dia tidak bisa, malah disuruh melalui SMS",bikin agar bisa verifikasi tidak hanya melalui sms kalau saya pilih email dia tidak bisa malah disuruh melalui sms,membuat agar bisa verifikasi tidak hanya melalui sms kalau saya pilih email dia tidak bisa malah disuruh melalui sms,"['membuat', 'agar', 'bisa', 'verifikasi', 'tidak', 'hanya', 'melalui', 'sms', 'kalau', 'saya', 'pilih', 'email', 'dia', 'tidak', 'bisa', 'malah', 'disuruh', 'melalui', 'sms']","['bisa', 'verifikasi', 'tidak', 'sms', 'pilih', 'email', 'tidak', 'bisa', 'disuruh', 'sms']",1,1,2,"['bisa', 'verifikasi', 'tidak', 'sms', 'pilih', 'email', 'tidak', 'bisa', 'disuruh', 'sms']",reliability
Pengguna Google,1,Susah banget dpt kode otp Pdhal mau daftar susah sekali,susah banget dpt kode otp pdhal mau daftar susah sekali,susah banget dapat kode otp padahal mau daftar susah sekali,"['susah', 'banget', 'dapat', 'kode', 'otp', 'padahal', 'mau', 'daftar', 'susah', 'sekali']","['susah', 'banget', 'kode', 'otp', 'daftar', 'susah']",1,1,2,"['susah', 'banget', 'kode', 'otp', 'daftar', 'susah']",assurance
Pengguna Google,1,aneh banget knp apk yg sekarang kok bukannya membaik mlah JD error' no hp salah terus pdhl udh jelas no nya masih yg itu.tolong Lebih dipermudah lagi donk apk nya,aneh banget knp apk yg sekarang kok bukannya membaik mlah jd error no hp salah terus pdhl udh jelas no nya masih yg itutolong lebih dipermudah lagi donk apk nya,jelek banget kenapa aplikasi yang sekarang kok bukannya membaik malah jadi error nomor hp salah terus padahal sudah jelas nomor ya masih yang itutolong lebih dipermudah lagi dong aplikasi ya,"['jelek', 'banget', 'kenapa', 'aplikasi', 'yang', 'sekarang', 'kok', 'bukannya', 'membaik', 'malah', 'jadi', 'error', 'nomor', 'hp', 'salah', 'terus', 'padahal', 'sudah', 'jelas', 'nomor', 'ya', 'masih', 'yang', 'itutolong', 'lebih', 'dipermudah', 'lagi', 'dong', 'aplikasi', 'ya']","['jelek', 'banget', 'aplikasi', 'membaik', 'error', 'nomor', 'hp', 'salah', 'sudah', 'nomor', 'itutolong', 'lebih', 'dipermudah', 'aplikasi']",1,1,2,"['jelek', 'banget', 'aplikasi', 'membaik', 'error', 'nomor', 'hp', 'salah', 'sudah', 'nomor', 'itutolong', 'lebih', 'dipermudah', 'aplikasi']",tangibles
