userName,score,content,case_folding,hasil_normalisasi,tokenizing,stopword_removal,Label,label_svm,Topik_LDA,processed_words,servqual_label
Pengguna Google,2,"Mohon Layanan jangan dipersulit: 1. Daftar aplikasi Wajib pakai nomer yg terdaftar, sedangkan nomor hp itu bisa berubah kapan saja... 2. Tidak semua orang bisa datang langsung ke Kantor karena kondisi jalan & transportasi tiap daerah beda beda, dan gak semua wilayah ada mobil BPJS Keliling... 3. Mohon untuk urusan kesehatan prosedur system jangan dipersulit, tapi dipermudah semudah mudahnya karena ini menyangkut NYAWA seseorang, tidak perlu dibuat banyak aturan yg mempersulit Rakyatnya sendiri.",mohon layanan jangan dipersulit  daftar aplikasi wajib pakai nomer yg terdaftar sedangkan nomor hp itu bisa berubah kapan saja  tidak semua orang bisa datang langsung ke kantor karena kondisi jalan  transportasi tiap daerah beda beda dan gak semua wilayah ada mobil bpjs keliling  mohon untuk urusan kesehatan prosedur system jangan dipersulit tapi dipermudah semudah mudahnya karena ini menyangkut nyawa seseorang tidak perlu dibuat banyak aturan yg mempersulit rakyatnya sendiri,mohon layanan jangan dipersulit daftar aplikasi wajib pakai nomor yang terdaftar sedangkan nomor hp itu bisa berubah kapan saja tidak semua orang bisa datang langsung ke kantor karena kondisi jalan transportasi tiap daerah beda beda dan tidak semua wilayah ada mobil bpjs keliling mohon untuk urusan kesehatan prosedur system jangan dipersulit tetapi dipermudah semudah mudahnya karena ini menyangkut nyawa seseorang tidak perlu dibuat banyak aturan yang mempersulit rakyatnya sendiri,"['mohon', 'layanan', 'jangan', 'dipersulit', 'daftar', 'aplikasi', 'wajib', 'pakai', 'nomor', 'yang', 'terdaftar', 'sedangkan', 'nomor', 'hp', 'itu', 'bisa', 'berubah', 'kapan', 'saja', 'tidak', 'semua', 'orang', 'bisa', 'datang', 'langsung', 'ke', 'kantor', 'karena', 'kondisi', 'jalan', 'transportasi', 'tiap', 'daerah', 'beda', 'beda', 'dan', 'tidak', 'semua', 'wilayah', 'ada', 'mobil', 'bpjs', 'keliling', 'mohon', 'untuk', 'urusan', 'kesehatan', 'prosedur', 'system', 'jangan', 'dipersulit', 'tetapi', 'dipermudah', 'semudah', 'mudahnya', 'karena', 'ini', 'menyangkut', 'nyawa', 'seseorang', 'tidak', 'perlu', 'dibuat', 'banyak', 'aturan', 'yang', 'mempersulit', 'rakyatnya', 'sendiri']","['mohon', 'layanan', 'dipersulit', 'daftar', 'aplikasi', 'wajib', 'pakai', 'nomor', 'terdaftar', 'nomor', 'hp', 'bisa', 'berubah', 'tidak', 'orang', 'bisa', 'langsung', 'kantor', 'kondisi', 'jalan', 'transportasi', 'daerah', 'beda', 'beda', 'tidak', 'wilayah', 'mobil', 'bpjs', 'keliling', 'mohon', 'urusan', 'kesehatan', 'prosedur', 'system', 'dipersulit', 'dipermudah', 'semudah', 'mudahnya', 'nyawa', 'tidak', 'aturan', 'mempersulit', 'rakyatnya']",1,1,0,"['mohon', 'layanan', 'dipersulit', 'daftar', 'aplikasi', 'wajib', 'pakai', 'nomor', 'terdaftar', 'nomor', 'hp', 'bisa', 'berubah', 'tidak', 'orang', 'bisa', 'langsung', 'kantor', 'kondisi', 'jalan', 'transportasi', 'daerah', 'beda', 'beda', 'tidak', 'wilayah', 'mobil', 'bpjs', 'keliling', 'mohon', 'urusan', 'kesehatan', 'prosedur', 'system', 'dipersulit', 'dipermudah', 'semudah', 'mudahnya', 'nyawa', 'tidak', 'aturan', 'mempersulit', 'rakyatnya']",reliability
Pengguna Google,1,"Selalu capctay salah, aplikasi teraneh yg kutemukan",selalu capctay salah aplikasi teraneh yg kutemukan,selalu capctay salah aplikasi teraneh yang kutemukan,"['selalu', 'capctay', 'salah', 'aplikasi', 'teraneh', 'yang', 'kutemukan']","['capctay', 'salah', 'aplikasi', 'teraneh', 'kutemukan']",1,1,1,"['capctay', 'salah', 'aplikasi', 'teraneh', 'kutemukan']",reliability
Pengguna Google,4,Bagus... sangat membantu,bagus sangat membantu,bagus sangat membantu,"['bagus', 'sangat', 'membantu']","['bagus', 'sangat', 'membantu']",3,3,2,"['bagus', 'sangat', 'membantu']",empathy
Pengguna Google,2,Ini kok minta kode otp gak masuk masuk ya padahal udah minta kirim ulang sampek 4 kali tapi tetep aja gak ada otp masuk.,ini kok minta kode otp gak masuk masuk ya padahal udah minta kirim ulang sampek  kali tapi tetep aja gak ada otp masuk,ini kok meminta kode otp tidak masuk masuk ya padahal sudah meminta kirim ulang sampai kali tetapi tetap saja tidak ada otp masuk,"['ini', 'kok', 'meminta', 'kode', 'otp', 'tidak', 'masuk', 'masuk', 'ya', 'padahal', 'sudah', 'meminta', 'kirim', 'ulang', 'sampai', 'kali', 'tetapi', 'tetap', 'saja', 'tidak', 'ada', 'otp', 'masuk']","['kode', 'otp', 'tidak', 'masuk', 'masuk', 'sudah', 'kirim', 'ulang', 'kali', 'tidak', 'otp', 'masuk']",1,1,1,"['kode', 'otp', 'tidak', 'masuk', 'masuk', 'sudah', 'kirim', 'ulang', 'kali', 'tidak', 'otp', 'masuk']",assurance
Pengguna Google,5,Terima kasih atas pelayanan yang terbaik untuk kami sebagai pelanggan setia Mobile JKN👍👍👍☺️,terima kasih atas pelayanan yang terbaik untuk kami sebagai pelanggan setia mobile jkn,terima kasih atas pelayanan yang terbaik untuk kami sebagai pelanggan setia mobile jkn,"['terima', 'kasih', 'atas', 'pelayanan', 'yang', 'terbaik', 'untuk', 'kami', 'sebagai', 'pelanggan', 'setia', 'mobile', 'jkn']","['terima', 'kasih', 'pelayanan', 'terbaik', 'pelanggan', 'setia', 'mobile', 'jkn']",3,3,2,"['terima', 'kasih', 'pelayanan', 'terbaik', 'pelanggan', 'setia', 'mobile', 'jkn']",empathy
Pengguna Google,1,"Gilaaa.. Selalu gagal verifikasi no.HP Disuruh isi pulsa, sekalinya sms nyedot pulsa 1000 an. Gagal pula tu 👎",gilaaa selalu gagal verifikasi nohp disuruh isi pulsa sekalinya sms nyedot pulsa  an gagal pula tu,gila selalu gagal verifikasi nohp disuruh isi pulsa sekalinya sms nyedot pulsa an gagal pula itu,"['gila', 'selalu', 'gagal', 'verifikasi', 'nohp', 'disuruh', 'isi', 'pulsa', 'sekalinya', 'sms', 'nyedot', 'pulsa', 'an', 'gagal', 'pula', 'itu']","['gila', 'gagal', 'verifikasi', 'nohp', 'disuruh', 'isi', 'pulsa', 'sekalinya', 'sms', 'nyedot', 'pulsa', 'an', 'gagal']",1,1,1,"['gila', 'gagal', 'verifikasi', 'nohp', 'disuruh', 'isi', 'pulsa', 'sekalinya', 'sms', 'nyedot', 'pulsa', 'an', 'gagal']",Tidak Ada Kecocokan
Pengguna Google,1,Nomer verifikasi ndk muncul2. Udh 1bulan ndk bisa2 nomer verifikasinya masuk ke nomer hp. Padahal msh aktiff,nomer verifikasi ndk muncul udh bulan ndk bisa nomer verifikasinya masuk ke nomer hp padahal msh aktiff,nomor verifikasi tidak muncul sudah bulan tidak bisa nomor verifikasinya masuk ke nomor hp padahal masih aktiff,"['nomor', 'verifikasi', 'tidak', 'muncul', 'sudah', 'bulan', 'tidak', 'bisa', 'nomor', 'verifikasinya', 'masuk', 'ke', 'nomor', 'hp', 'padahal', 'masih', 'aktiff']","['nomor', 'verifikasi', 'tidak', 'muncul', 'sudah', 'tidak', 'bisa', 'nomor', 'verifikasinya', 'masuk', 'nomor', 'hp', 'aktiff']",1,1,1,"['nomor', 'verifikasi', 'tidak', 'muncul', 'sudah', 'tidak', 'bisa', 'nomor', 'verifikasinya', 'masuk', 'nomor', 'hp', 'aktiff']",reliability
Pengguna Google,5,Layanan puskemas bukit hindu cepat,layanan puskemas bukit hindu cepat,layanan puskemas bukit hindu cepat,"['layanan', 'puskemas', 'bukit', 'hindu', 'cepat']","['layanan', 'puskemas', 'bukit', 'hindu', 'cepat']",3,2,2,"['layanan', 'puskemas', 'bukit', 'hindu', 'cepat']",empathy
Pengguna Google,1,Ada apa dengan mobile jkn Saya tidak bisa login.tolong dong min solusi nya,ada apa dengan mobile jkn saya tidak bisa logintolong dong min solusi nya,ada apa dengan mobile jkn saya tidak bisa logintolong dong min solusi ya,"['ada', 'apa', 'dengan', 'mobile', 'jkn', 'saya', 'tidak', 'bisa', 'logintolong', 'dong', 'min', 'solusi', 'ya']","['mobile', 'jkn', 'tidak', 'bisa', 'logintolong', 'solusi']",3,3,0,"['mobile', 'jkn', 'tidak', 'bisa', 'logintolong', 'solusi']",tangibles
Pengguna Google,1,Sering update,sering update,sering memperbarui,"['sering', 'memperbarui']",['memperbarui'],2,2,0,['memperbarui'],Tidak Ada Kecocokan
Pengguna Google,5,sangat bermanfaat bagi kami,sangat bermanfaat bagi kami,sangat bermanfaat bagi kami,"['sangat', 'bermanfaat', 'bagi', 'kami']","['sangat', 'bermanfaat']",3,3,2,"['sangat', 'bermanfaat']",responsiveness
Pengguna Google,5,sangat berguna dan sangat membantu,sangat berguna dan sangat membantu,sangat berguna dan sangat membantu,"['sangat', 'berguna', 'dan', 'sangat', 'membantu']","['sangat', 'berguna', 'sangat', 'membantu']",3,3,2,"['sangat', 'berguna', 'sangat', 'membantu']",empathy
Pengguna Google,1,"tolong lah aplikasinya di perbaiki, masaknya pihak RS skrg minta harus login dari sini.. sempat ada yg parah perlu pertolongan apa gak udah meninggal dia? tolonglah",tolong lah aplikasinya di perbaiki masaknya pihak rs skrg minta harus login dari sini sempat ada yg parah perlu pertolongan apa gak udah meninggal dia tolonglah,tolong lah aplikasinya di perbaiki masaknya pihak rumah sakit sekarang meminta harus login dari sini sempat ada yang parah perlu pertolongan apa tidak sudah meninggal dia tolonglah,"['tolong', 'lah', 'aplikasinya', 'di', 'perbaiki', 'masaknya', 'pihak', 'rumah', 'sakit', 'sekarang', 'meminta', 'harus', 'login', 'dari', 'sini', 'sempat', 'ada', 'yang', 'parah', 'perlu', 'pertolongan', 'apa', 'tidak', 'sudah', 'meninggal', 'dia', 'tolonglah']","['tolong', 'aplikasinya', 'perbaiki', 'masaknya', 'rumah', 'sakit', 'login', 'parah', 'pertolongan', 'tidak', 'sudah', 'meninggal', 'tolonglah']",1,1,0,"['tolong', 'aplikasinya', 'perbaiki', 'masaknya', 'rumah', 'sakit', 'login', 'parah', 'pertolongan', 'tidak', 'sudah', 'meninggal', 'tolonglah']",tangibles
Pengguna Google,2,Belum pernah daftar sebelumnya. Tapi nomor hpku kok sudah pernah didaftarkan ? Alhasil ga jadi daftar.,belum pernah daftar sebelumnya tapi nomor hpku kok sudah pernah didaftarkan  alhasil ga jadi daftar,belum pernah daftar sebelumnya tetapi nomor hpku kok sudah pernah didaftarkan alhasil tidak jadi daftar,"['belum', 'pernah', 'daftar', 'sebelumnya', 'tetapi', 'nomor', 'hpku', 'kok', 'sudah', 'pernah', 'didaftarkan', 'alhasil', 'tidak', 'jadi', 'daftar']","['daftar', 'nomor', 'hpku', 'sudah', 'didaftarkan', 'alhasil', 'tidak', 'daftar']",1,1,0,"['daftar', 'nomor', 'hpku', 'sudah', 'didaftarkan', 'alhasil', 'tidak', 'daftar']",reliability
Pengguna Google,2,Minta verifikasi no aja sush untk daftar,minta verifikasi no aja sush untk daftar,meminta verifikasi nomor saja sush untuk daftar,"['meminta', 'verifikasi', 'nomor', 'saja', 'sush', 'untuk', 'daftar']","['verifikasi', 'nomor', 'sush', 'daftar']",2,2,1,"['verifikasi', 'nomor', 'sush', 'daftar']",reliability
Pengguna Google,1,aplikasi dibuat di donload... Setelah itu menyusahkan.... Root... Root... Root...,aplikasi dibuat di donload setelah itu menyusahkan root root root,aplikasi dibuat di donload setelah itu menyusahkan root root root,"['aplikasi', 'dibuat', 'di', 'donload', 'setelah', 'itu', 'menyusahkan', 'root', 'root', 'root']","['aplikasi', 'donload', 'menyusahkan', 'root', 'root', 'root']",1,1,0,"['aplikasi', 'donload', 'menyusahkan', 'root', 'root', 'root']",tangibles
Pengguna Google,5,sangat membantu dalam hal kesehatan,sangat membantu dalam hal kesehatan,sangat membantu dalam hal kesehatan,"['sangat', 'membantu', 'dalam', 'hal', 'kesehatan']","['sangat', 'membantu', 'kesehatan']",3,3,2,"['sangat', 'membantu', 'kesehatan']",empathy
Pengguna Google,5,Manfaat,manfaat,manfaat,['manfaat'],['manfaat'],3,3,2,['manfaat'],Tidak Ada Kecocokan
Pengguna Google,1,"Tidak bisa mengganti segmen peserta, padah sudah mengisi semua yang diperlukan",tidak bisa mengganti segmen peserta padah sudah mengisi semua yang diperlukan,tidak bisa mengganti segmen peserta padah sudah mengisi semua yang diperlukan,"['tidak', 'bisa', 'mengganti', 'segmen', 'peserta', 'padah', 'sudah', 'mengisi', 'semua', 'yang', 'diperlukan']","['tidak', 'bisa', 'mengganti', 'segmen', 'peserta', 'padah', 'sudah', 'mengisi']",2,1,0,"['tidak', 'bisa', 'mengganti', 'segmen', 'peserta', 'padah', 'sudah', 'mengisi']",tangibles
Pengguna Google,1,TEMPO BUTUH ERROR WAE,tempo butuh error wae,tempo butuh error wae,"['tempo', 'butuh', 'error', 'wae']","['tempo', 'butuh', 'error', 'wae']",1,1,0,"['tempo', 'butuh', 'error', 'wae']",tangibles
Pengguna Google,1,Ya Allah Ya Robbi inni aplikasi Kenapa... Saya itu mau kontrol penyakit stroke obat habis susah sekali daftar... Nanti kalau langsung datang bilang harus daftar online dulu... Kok jadi orang sakit di persulit seperti ini ...,ya allah ya robbi inni aplikasi kenapa saya itu mau kontrol penyakit stroke obat habis susah sekali daftar nanti kalau langsung datang bilang harus daftar online dulu kok jadi orang sakit di persulit seperti ini,ya allah ya robbi ini aplikasi kenapa saya itu mau kontrol penyakit stroke obat habis susah sekali daftar nanti kalau langsung datang bilang harus daftar daring dulu kok jadi orang sakit di persulit seperti ini,"['ya', 'allah', 'ya', 'robbi', 'ini', 'aplikasi', 'kenapa', 'saya', 'itu', 'mau', 'kontrol', 'penyakit', 'stroke', 'obat', 'habis', 'susah', 'sekali', 'daftar', 'nanti', 'kalau', 'langsung', 'datang', 'bilang', 'harus', 'daftar', 'daring', 'dulu', 'kok', 'jadi', 'orang', 'sakit', 'di', 'persulit', 'seperti', 'ini']","['allah', 'robbi', 'aplikasi', 'kontrol', 'penyakit', 'stroke', 'obat', 'habis', 'susah', 'daftar', 'langsung', 'bilang', 'daftar', 'daring', 'orang', 'sakit', 'persulit']",1,1,0,"['allah', 'robbi', 'aplikasi', 'kontrol', 'penyakit', 'stroke', 'obat', 'habis', 'susah', 'daftar', 'langsung', 'bilang', 'daftar', 'daring', 'orang', 'sakit', 'persulit']",responsiveness
Pengguna Google,1,"Kenapa no handphone saya di gunakan oleh peserta lain padahal saya belum pernah mendaftar di aplikasi JKN ,mohon bantuannya",kenapa no handphone saya di gunakan oleh peserta lain padahal saya belum pernah mendaftar di aplikasi jkn mohon bantuannya,kenapa nomor handphone saya di gunakan oleh peserta lain padahal saya belum pernah mendaftar di aplikasi jkn mohon bantuannya,"['kenapa', 'nomor', 'handphone', 'saya', 'di', 'gunakan', 'oleh', 'peserta', 'lain', 'padahal', 'saya', 'belum', 'pernah', 'mendaftar', 'di', 'aplikasi', 'jkn', 'mohon', 'bantuannya']","['nomor', 'handphone', 'peserta', 'mendaftar', 'aplikasi', 'jkn', 'mohon', 'bantuannya']",1,1,0,"['nomor', 'handphone', 'peserta', 'mendaftar', 'aplikasi', 'jkn', 'mohon', 'bantuannya']",tangibles
Pengguna Google,1,Jelek parah,jelek parah,jelek parah,"['jelek', 'parah']","['jelek', 'parah']",1,1,0,"['jelek', 'parah']",Tidak Ada Kecocokan
Pengguna Google,5,Sip lah,sip lah,sip lah,"['sip', 'lah']",['sip'],2,2,2,['sip'],Tidak Ada Kecocokan
Pengguna Google,1,"Kecewa sih skr am bpjs, knp tambal gigi dan perawatan gigi dhapuskan dr program bpjs, sya bkin bpjs krna bisa nambal gigi, tp stelah perubahan per tgl 1juli saya kecewa",kecewa sih skr am bpjs knp tambal gigi dan perawatan gigi dhapuskan dr program bpjs sya bkin bpjs krna bisa nambal gigi tp stelah perubahan per tgl juli saya kecewa,kecewa sih sekarang sama bpjs kenapa tambal gigi dan perawatan gigi dhapuskan dari program bpjs saya bikin bpjs karena bisa nambal gigi tapi setelah perubahan per tanggal juli saya kecewa,"['kecewa', 'sih', 'sekarang', 'sama', 'bpjs', 'kenapa', 'tambal', 'gigi', 'dan', 'perawatan', 'gigi', 'dhapuskan', 'dari', 'program', 'bpjs', 'saya', 'bikin', 'bpjs', 'karena', 'bisa', 'nambal', 'gigi', 'tapi', 'setelah', 'perubahan', 'per', 'tanggal', 'juli', 'saya', 'kecewa']","['kecewa', 'bpjs', 'tambal', 'gigi', 'perawatan', 'gigi', 'dhapuskan', 'program', 'bpjs', 'bikin', 'bpjs', 'bisa', 'nambal', 'gigi', 'perubahan', 'tanggal', 'juli', 'kecewa']",3,3,0,"['kecewa', 'bpjs', 'tambal', 'gigi', 'perawatan', 'gigi', 'dhapuskan', 'program', 'bpjs', 'bikin', 'bpjs', 'bisa', 'nambal', 'gigi', 'perubahan', 'tanggal', 'juli', 'kecewa']",responsiveness
Pengguna Google,5,Baik pelayanannya...terimakasih,baik pelayanannyaterimakasih,baik pelayanannyaterimakasih,"['baik', 'pelayanannyaterimakasih']","['baik', 'pelayanannyaterimakasih']",2,2,2,"['baik', 'pelayanannyaterimakasih']",empathy
Pengguna Google,5,Mobile JKN mantap dan cepat,mobile jkn mantap dan cepat,mobile jkn mantap dan cepat,"['mobile', 'jkn', 'mantap', 'dan', 'cepat']","['mobile', 'jkn', 'mantap', 'cepat']",3,3,2,"['mobile', 'jkn', 'mantap', 'cepat']",empathy
Pengguna Google,5,"Mudah, sangat membantu",mudah sangat membantu,mudah sangat membantu,"['mudah', 'sangat', 'membantu']","['mudah', 'sangat', 'membantu']",3,3,2,"['mudah', 'sangat', 'membantu']",empathy
Pengguna Google,1,Susah mendapatkan kode verifikasi,susah mendapatkan kode verifikasi,susah mendapatkan kode verifikasi,"['susah', 'mendapatkan', 'kode', 'verifikasi']","['susah', 'kode', 'verifikasi']",1,1,1,"['susah', 'kode', 'verifikasi']",assurance
Pengguna Google,1,"apk bikin emosi , tidak bisa daftar dgn alasan nomor sudah terpakai ,padahal udah nyoba nomor 15 kartu",apk bikin emosi  tidak bisa daftar dgn alasan nomor sudah terpakai padahal udah nyoba nomor  kartu,aplikasi membuat emosi tidak bisa daftar dengan alasan nomor sudah terpakai padahal sudah mencoba nomor kartu,"['aplikasi', 'membuat', 'emosi', 'tidak', 'bisa', 'daftar', 'dengan', 'alasan', 'nomor', 'sudah', 'terpakai', 'padahal', 'sudah', 'mencoba', 'nomor', 'kartu']","['aplikasi', 'emosi', 'tidak', 'bisa', 'daftar', 'alasan', 'nomor', 'sudah', 'terpakai', 'sudah', 'mencoba', 'nomor', 'kartu']",1,1,0,"['aplikasi', 'emosi', 'tidak', 'bisa', 'daftar', 'alasan', 'nomor', 'sudah', 'terpakai', 'sudah', 'mencoba', 'nomor', 'kartu']",reliability
Pengguna Google,5,Sangat membantu..trimaksih,sangat membantutrimaksih,sangat membantutrimaksih,"['sangat', 'membantutrimaksih']","['sangat', 'membantutrimaksih']",2,2,2,"['sangat', 'membantutrimaksih']",responsiveness
Pengguna Google,1,Sy peserta bpjs yg non aktif dn skrg akyif lg kok ga bs daftar ke aplikasi ini,sy peserta bpjs yg non aktif dn skrg akyif lg kok ga bs daftar ke aplikasi ini,saya peserta bpjs yang non aktif dan sekarang akyif lagi kok tidak bisa daftar ke aplikasi ini,"['saya', 'peserta', 'bpjs', 'yang', 'non', 'aktif', 'dan', 'sekarang', 'akyif', 'lagi', 'kok', 'tidak', 'bisa', 'daftar', 'ke', 'aplikasi', 'ini']","['peserta', 'bpjs', 'non', 'aktif', 'akyif', 'tidak', 'bisa', 'daftar', 'aplikasi']",1,1,0,"['peserta', 'bpjs', 'non', 'aktif', 'akyif', 'tidak', 'bisa', 'daftar', 'aplikasi']",responsiveness
Pengguna Google,5,Saya belum lama ini mengalami pecah usus buntu... Terimakasih bpjs,saya belum lama ini mengalami pecah usus buntu terimakasih bpjs,saya belum lama ini mengalami pecah usus buntu terimakasih bpjs,"['saya', 'belum', 'lama', 'ini', 'mengalami', 'pecah', 'usus', 'buntu', 'terimakasih', 'bpjs']","['mengalami', 'pecah', 'usus', 'buntu', 'terimakasih', 'bpjs']",2,3,2,"['mengalami', 'pecah', 'usus', 'buntu', 'terimakasih', 'bpjs']",Tidak Ada Kecocokan
Pengguna Google,1,Kok gk bisa terus daftar bru knpa kode nya gk dikirim kirim,kok gk bisa terus daftar bru knpa kode nya gk dikirim kirim,kok tidak bisa terus daftar baru kenapa kode ya tidak dikirim kirim,"['kok', 'tidak', 'bisa', 'terus', 'daftar', 'baru', 'kenapa', 'kode', 'ya', 'tidak', 'dikirim', 'kirim']","['tidak', 'bisa', 'daftar', 'kode', 'tidak', 'dikirim', 'kirim']",2,2,1,"['tidak', 'bisa', 'daftar', 'kode', 'tidak', 'dikirim', 'kirim']",assurance
Pengguna Google,5,"Sangat membantu ' sangat mudah ' sy benar"" puasss",sangat membantu  sangat mudah  sy benar puasss,sangat membantu sangat mudah saya benar puasss,"['sangat', 'membantu', 'sangat', 'mudah', 'saya', 'benar', 'puasss']","['sangat', 'membantu', 'sangat', 'mudah', 'puasss']",3,3,2,"['sangat', 'membantu', 'sangat', 'mudah', 'puasss']",empathy
